gender,age_range,attendance_freq,event_types,indoor_outdoor,top_event,rain_avoid,cold_tolerance,heat_sensitivity,wind_sensitivity,override_weather,scenario_concert,scenario_festival,scenario_sports,scenario_theatre,scenario_conference,user_id,preferred_event_types
Female,18-24,1–2 ori pe an / 1–2 times per year,"Teatru / Theatre, Conferințe / Conferences",3,Theatre,4,2,4,4,3,2,3,1,3,3,74,Conference|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,Concerte / Concerts,4,Concert,2,1,2,3,2,1,3,1,2,1,75,Concert
Non-binary,55-64,Săptămânal / Weekly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Sports,1,5,1,1,5,3,3,3,3,3,76,Concert|Conference|Exhibition|Festival|Sports|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Conferințe / Conferences, Expoziții / Exhibitions",3,Festival,3,2,2,2,4,3,3,2,3,3,77,Concert|Conference|Exhibition|Festival
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Festival,5,5,5,5,3,1,3,1,3,3,78,Concert|Conference|Exhibition|Theatre
Prefer not to say,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre",3,Theatre,5,1,4,5,2,2,3,0,3,2,79,Concert|Festival|Theatre
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Conferințe / Conferences",2,Theatre,3,1,1,4,5,1,3,1,3,3,80,Concert|Conference|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre, Conferințe / Conferences, Expoziții / Exhibitions",3,Festival,4,4,3,4,4,2,3,2,0,3,81,Concert|Conference|Exhibition|Festival|Sports|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre",2,Theatre,5,3,4,2,5,3,3,0,3,3,82,Concert|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,Teatru / Theatre,3,Theatre,4,3,2,2,5,3,3,3,3,3,83,Theatre
